ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000125148,4502,MT2A,metallothionein 2A,7.7623114132604,5.75494787715238,10.4044418730639,6.42837718900748e-08,4.3190659238644e-05,7.15207963859365
ENSG00000169715,4493,MT1E,metallothionein 1E,5.92477706193597,4.2309204488817,9.95276481911425,1.10944575211048e-07,4.70584753147089e-05,6.30075288136928
ENSG00000120937,4879,NPPB,natriuretic peptide B,2.90788249706022,7.89386324211934,9.39996344737037,2.22189997137551e-07,6.18762359735243e-05,7.36410722207568
ENSG00000102317,5935,RBM3,RNA binding motif protein 3,2.3949497760145,5.4896795376464,9.98508326497933,1.06628393447186e-07,4.70584753147089e-05,8.17647445331874
ENSG00000148677,27063,ANKRD1,ankyrin repeat domain 1,1.92968713587141,7.9210840101302,9.92080494351936,1.15395963741087e-07,4.70584753147089e-05,8.01608811237207
ENSG00000129353,57153,SLC44A2,solute carrier family 44 member 2,1.36563087170101,8.54029114513085,11.267205626886,2.38342565700572e-08,2.95636451686286e-05,9.5820869330244
ENSG00000154277,7345,UCHL1,ubiquitin C-terminal hydrolase L1,1.25889576649347,8.43480010881774,8.97746554296592,3.85786244700325e-07,9.72000499342617e-05,6.73532572013163
ENSG00000131378,23180,RFTN1,"raftlin, lipid raft linker 1",1.19693746468484,6.0904185181676,9.59328880626269,1.73678939153259e-07,5.71545488540062e-05,7.69854096640228
ENSG00000205542,7114,TMSB4X,thymosin beta 4 X-linked,1.00517501420025,8.61818671319958,8.96346509547605,3.93031846017317e-07,9.72675957786605e-05,6.70100229793881
ENSG00000164292,22836,RHOBTB3,Rho related BTB domain containing 3,0.922346172941458,8.89686960322986,9.85589115194617,1.25032243353269e-07,4.84698203439704e-05,7.85000939590594
ENSG00000070087,5217,PFN2,profilin 2,0.837619310933059,7.67033921254651,8.91887171576891,4.17088438181945e-07,9.86109323395929e-05,6.69031990041216
