ENSEMBL,ENTREZID,SYMBOL,GENENAME,logFC,AveExpr,t,P.Value,adj.P.Val,B
ENSG00000180440,400120,SERTM1,serine rich and transmembrane domain containing 1,-5.89253492907713,-2.36280717255852,-4.5394301332253,0.000477659033771287,0.00809910822246268,-1.84060130782871
ENSG00000197465,2996,GYPE,glycophorin E (MNS blood group),-5.80430418240564,0.381804769134903,-6.79229422565648,9.30089984101187e-06,0.000704117417541391,1.4830376454448
ENSG00000103460,27324,TOX3,TOX high mobility group box family member 3,-5.57891599946848,-3.03384668968455,-4.40571940739078,0.000616013699452602,0.00958969939218271,-1.99789510689123
ENSG00000018236,1272,CNTN1,contactin 1,-5.42280043861064,-1.79377268286689,-4.69922278798489,0.000353381927606882,0.00660346631618491,-1.42954336426982
ENSG00000167617,148170,CDC42EP5,CDC42 effector protein 5,-5.22693953192058,-2.20133553983465,-4.37964916781259,0.000647481079556583,0.00986827259721162,-1.99424243583612
ENSG00000141338,10351,ABCA8,ATP binding cassette subfamily A member 8,-4.76622284138114,0.135437523021378,-4.68801081276331,0.000360898389692275,0.00669676240942226,-0.35392208053955
ENSG00000081051,174,AFP,alpha fetoprotein,-4.74000056256487,3.94417234103394,-5.65869471501142,6.19269634289261e-05,0.00213543066110383,2.03935660524043
ENSG00000250361,2994,GYPB,glycophorin B (MNS blood group),-4.46971178311644,2.394482088662,-8.85947557032099,4.5158403400739e-07,0.000101136007616238,5.9221264166516
ENSG00000243955,2938,GSTA1,glutathione S-transferase alpha 1,-4.00305462930679,1.15711817899261,-5.34820769109855,0.00010735873782793,0.00302122102526243,0.940574515591263
ENSG00000248746,89,ACTN3,actinin alpha 3,-3.95029834601194,0.926835645875778,-4.73681637838956,0.000329339300993152,0.00624776026884068,0.11557709160675
ENSG00000146122,23500,DAAM2,dishevelled associated activator of morphogenesis 2,-3.78020973482925,-0.261973660296082,-4.93173008291001,0.000229186049003129,0.00495753082405545,-0.298117771531805
ENSG00000050555,10319,LAMC3,laminin subunit gamma 3,-3.74987465490183,1.11400436065235,-5.06120525762849,0.000180610659681986,0.00425163704231926,0.645283176040603
ENSG00000174827,5174,PDZK1,PDZ domain containing 1,-3.7485104897308,0.878337956098084,-5.41852677709854,9.46712077490475e-05,0.00281136873840403,0.767177385723219
ENSG00000134240,3158,HMGCS2,3-hydroxy-3-methylglutaryl-CoA synthase 2,-3.56804908231235,2.16182199688689,-5.67533483750084,6.01499648923491e-05,0.0021039439997595,1.91594280613262
ENSG00000265107,2702,GJA5,gap junction protein alpha 5,-3.51934974628726,2.73854547550707,-12.7603276384843,4.91692394198263e-09,9.91067482055873e-06,10.273483533093
ENSG00000112149,9308,CD83,CD83 molecule,-3.35839293868289,1.65774110876344,-5.41459483880073,9.53376224805808e-05,0.00281560286172045,1.16620753510603
ENSG00000167711,5345,SERPINF2,serpin family F member 2,-3.30735877873989,1.10000865528297,-5.04637571137661,0.000185585487432523,0.00430585033791286,0.732902953592578
