gene_id	s001_Line1_0g_repeat	s002_Line1_0g_repeat	s003_Line1_0g_repeat	s004_Line1_1g_repeat	s005_Line1_1g_repeat	s006_Line1_1g_repeat	s007_Line1_ground_repeat	s008_Line1_ground_repeat	s009_Line1_ground_repeat
ENSG00000000003	2395	3345	5047	2745	5043	3969	4737	3656	6618
ENSG00000000005	0	0	6	12	0	4	7	0	25
ENSG00000000419	898	1226	1607	1242	1591	1486	1249	1104	1526
ENSG00000000457	115	154	266	153	188	188	197	262	357
ENSG00000000460	149	137	132	159	291	78	211	85	181
ENSG00000000938	0	0	1	0	0	0	0	0	0
ENSG00000000971	0	0	1	15	0	3	0	0	0
ENSG00000001036	1324	1985	2673	1927	3281	2628	1562	1313	1688
ENSG00000001084	345	390	760	660	550	614	880	653	843
ENSG00000001167	159	286	337	438	366	317	361	363	452
ENSG00000001460	174	197	209	278	267	392	269	186	253
ENSG00000001461	497	723	1173	910	993	677	1253	745	1493
ENSG00000001497	928	1433	1865	1091	1946	1478	1528	1146	1558
ENSG00000001561	231	388	354	353	406	448	336	344	306
ENSG00000001617	58	66	115	67	65	76	108	91	101
ENSG00000001626	25	18	60	48	22	28	173	131	212
ENSG00000001629	175	224	426	269	331	403	376	271	476
ENSG00000001630	118	234	257	153	353	217	200	215	311
ENSG00000001631	321	539	542	351	634	536	727	572	1172
ENSG00000002016	74	167	309	113	312	139	127	104	180
ENSG00000002079	2	17	16	2	24	11	12	3	1
ENSG00000002330	343	464	756	452	1236	948	682	616	868
ENSG00000002549	1914	3040	3683	2038	4106	3502	4133	3109	6055
ENSG00000002586	3525	4842	6548	3791	8081	7103	5763	5677	8370
ENSG00000002587	36	45	75	66	99	109	117	66	91
ENSG00000002726	0	0	0	2	0	0	0	0	0
ENSG00000002745	0	3	0	0	1	23	0	0	0
ENSG00000002746	4	0	13	14	0	1	3	0	0
ENSG00000002822	801	1197	1635	883	2065	1679	1338	1012	2139
ENSG00000002834	1105	1655	2004	1567	2350	2077	1296	1155	1505
ENSG00000002919	506	854	1045	673	1133	918	789	589	979
ENSG00000002933	10	38	60	25	47	56	8	17	10
ENSG00000003056	2027	2840	4010	2875	4467	3540	2759	2116	3636
ENSG00000003096	138	173	356	174	250	286	336	309	287
ENSG00000003137	2	0	3	0	0	2	0	1	0
ENSG00000003147	379	708	838	391	732	548	780	549	751
ENSG00000003249	344	323	473	202	711	432	442	328	733
ENSG00000003393	814	936	1923	716	1396	1319	1923	935	2168
ENSG00000003400	23	20	20	53	47	15	41	34	47
ENSG00000003402	367	608	812	654	746	663	442	400	644
ENSG00000003436	589	812	1175	933	1723	1261	858	570	1085
ENSG00000003509	328	374	796	486	870	703	622	404	611
ENSG00000003756	803	1193	1677	1249	1681	1354	1707	1423	2231
ENSG00000003987	4	2	22	34	22	5	10	0	5
ENSG00000003989	87	88	187	283	199	295	230	148	248
ENSG00000004059	1700	2526	3371	2367	4140	3896	2398	2063	3347
ENSG00000004139	22	47	41	32	69	48	111	61	111
ENSG00000004142	4020	6251	8153	4709	9703	8431	7912	6274	10057
ENSG00000004399	81	177	230	201	247	151	441	229	549
ENSG00000004455	1514	2082	3027	1977	2986	3047	2725	2721	3652
ENSG00000004468	0	3	6	0	9	0	0	0	0
ENSG00000004478	2887	4077	5977	3344	5312	5319	4151	3288	4850
ENSG00000004487	2574	3775	5150	3621	5317	4827	6012	4729	7268
ENSG00000004534	579	821	1163	971	1306	1366	980	850	1276
ENSG00000004660	8	35	10	8	29	43	79	35	50
ENSG00000004700	231	429	505	403	536	574	299	311	554
ENSG00000004766	455	611	788	304	810	486	540	628	731
ENSG00000004776	11	24	25	22	49	9	54	25	53
ENSG00000004777	24	61	24	12	35	4	53	15	91
ENSG00000004779	4409	6658	8511	5077	9931	7600	5600	6142	7666
ENSG00000004799	17	39	134	190	86	149	146	187	145
ENSG00000004809	0	0	1	0	3	0	0	0	0
