"ENSEMBL","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000068976","5837","PYGM","glycogen phosphorylase, muscle associated",-2.176965704982,7.04760020144184,-17.5080329853328,7.9057605709307e-11,1.27480389206258e-06,15.2611007913896
"ENSG00000044574","3309","HSPA5","heat shock protein family A (Hsp70) member 5",-1.55682581109036,11.2379236303426,-16.3707162046637,1.92198168349868e-10,1.54959773232081e-06,14.4044202205149
"ENSG00000155660","9601","PDIA4","protein disulfide isomerase family A member 4",-1.66187512059038,9.57616397204955,-14.9376042691407,6.39879315418944e-10,3.43935132037682e-06,13.2178272898001
"ENSG00000115255","92840","REEP6","receptor accessory protein 6",-2.19882747444743,6.54878126043489,-13.9489012214532,1.56030678885874e-09,5.88784659402074e-06,12.3473057806519
"ENSG00000143870","10130","PDIA6","protein disulfide isomerase family A member 6",-1.11960541927312,9.03478253473778,-13.7807770900105,1.82568886636302e-09,5.88784659402074e-06,12.1688444138839
"ENSG00000175274","9537","TP53I11","tumor protein p53 inducible protein 11",-1.39333123182807,8.78907514910772,-13.2365692244448,3.07132559963160e-09,8.25418754900991e-06,11.6441503841958
"ENSG00000132561","4147","MATN2","matrilin 2",-1.66165750496763,6.77298248129073,-12.9634284171853,4.01559662099362e-09,9.25021364478888e-06,11.4220641274703
"ENSG00000265107","2702","GJA5","gap junction protein alpha 5",-3.51934974628726,2.73854547550707,-12.7603276384843,4.91692394198263e-09,9.91067482055873e-06,10.273483533093
"ENSG00000197580","83875","BCO2","beta-carotene oxygenase 2",-2.61928213953349,4.08531580391772,-12.5602256865075,6.01887465428439e-09,1.07838170889262e-05,10.6947565309815
"ENSG00000204262","1290","COL5A2","collagen type V alpha 2 chain",-2.21258620542652,5.73225939744733,-12.1714742289587,8.98629489028597e-09,1.35717102277839e-05,10.6234240775104
"ENSG00000156587","9246","UBE2L6","ubiquitin conjugating enzyme E2 L6",-1.69668171323692,7.22671870049817,-12.1429694030333,9.25822093058127e-09,1.35717102277839e-05,10.5820958669982
"ENSG00000108840","10014","HDAC5","histone deacetylase 5",-1.46789775388051,6.81165918250785,-11.6743018753858,1.52450239155822e-08,2.04855008865636e-05,10.0957302593688
"ENSG00000129353","57153","SLC44A2","solute carrier family 44 member 2",1.36563087170101,8.54029114513085,11.267205626886,2.38342565700572e-08,2.95636451686286e-05,9.5820869330244
"ENSG00000120057","6425","SFRP5","secreted frizzled related protein 5",-2.89381164148491,3.19033252644102,-11.127759235417,2.78612953516979e-08,3.20902419675807e-05,8.88201699472801
"ENSG00000166033","5654","HTRA1","HtrA serine peptidase 1",-1.34493750850803,7.25353616969008,-10.9494548324656,3.40962741269678e-08,3.66534946864904e-05,9.25721245608079
"ENSG00000112175","653","BMP5","bone morphogenetic protein 5",-1.28163713107038,7.74107021491154,-10.8249690741302,3.93211652180752e-08,3.72699862690015e-05,9.08229774005047
"ENSG00000168542","1281","COL3A1","collagen type III alpha 1 chain",-2.29810119830406,7.85114077173513,-10.753201586381,4.27153794548362e-08,3.72699862690015e-05,9.01452829834455
"ENSG00000169436","169044","COL22A1","collagen type XXII alpha 1 chain",-3.07200845702067,3.23220769544663,-10.7305522179189,4.38502715318583e-08,3.72699862690015e-05,8.50162332898869
"ENSG00000109062","9368","SLC9A3R1","SLC9A3 regulator 1",-1.52453516968709,6.5914885845049,-10.695556957449,4.56673331597462e-08,3.72699862690015e-05,9.00249603638878
